tweet_id,created_at,keyword_search,text,language
1627092333367033857,2023-02-18T23:46:56.000Z,war+energy,"Attacks on Policy That Saves Homeowners/Renters #Money 🟰 #Poverty #Tax

Lower building #efficiency imposes heavy burden on poorest US families, who spend 4X more of their income on #energy than the well-off:

https://t.co/Vuv4ygMYkx

#rooftop #solar #induction #stove #heatpump",en
1627054198520188928,2023-02-18T21:15:24.000Z,war+energy,"@avandelay6 @akramsrazor @mark_skittle EVs are the best g'damn thing thats ever happened to energy investors.     While big ""tech"" blows their brains out in an AI mkt share war, energy investors sit around getting paid 😂",en
1627052995983597569,2023-02-18T21:10:38.000Z,war+energy,"@RishiSunak @MunSecConf @VP @Bundeskanzler I think it's high time you lot stopped calling yourselves 'world leaders' Rishi because 'leading' us into;
War
Energy bankruptcy 
Actual bankruptcy 
.
While presiding over mass illegal immigration 
Is not the sort of leadership we were looking for.",en
1627023860163047424,2023-02-18T19:14:51.000Z,war+energy,"@FrankFigliuzzi1 @NBCNews America is at war. This is war - energy grid attacks, train wrecks, chemical/oil spills, Nazis, guns, AR15s - all of this was planned.",en
1627016835341361154,2023-02-18T18:46:56.000Z,war+energy,@PostLeftWatch He says he’s disappointed in democrats for being anti war and then recognizes that “I don’t expect us to be able to foster anymore anti war energy in the Republican Party”. You have worms in your brain,en
1627001677529206788,2023-02-18T17:46:42.000Z,war+energy,"Four war energy budget while similar appear.
😆💫🤏👌😄
2023-02-19 01:46:42",en
1626989785855442946,2023-02-18T16:59:27.000Z,war+energy,"@e2dot7182818284 @albert_hubble @StevenRWilson72 @nafo_boi @Tatarigami_UA @michaelxpettis Yes, I agree with that. Breaking up EU at this hour amid a horrific war, energy crisis, looming recession will be very uncertain and big gamble with a lot of political ramifications likely leading to chaos and political overhaul at a time we need European solidarity the most.",en
1626978150331879425,2023-02-18T16:13:13.000Z,war+energy,"#裸聊 #视频 #绿帽 #红绿灯 https://t.co/IXZ678iMKj
Person myself war energy western.
💯👌😝🤏💫
2023-02-19 00:13:13",en
1626934151994609666,2023-02-18T13:18:23.000Z,war+energy,The Russia-Ukraine War Has Caused an Energy Crisis in the Developing World https://t.co/Fwj1KR4msl,en
1626894476718272512,2023-02-18T10:40:44.000Z,war+energy,@RidyardMike I'm not so sure anymore. Many FIRE fans imagined a benign low inflation retirement. Protracted high inflation+war+energy crisis has sunk that. I wouldnt hav retired in 2019 if my crystal ball had been clearer. A couple of extra yrs would hav been a benefit.,en
1626889629767987200,2023-02-18T10:21:28.000Z,war+energy,@BrianM_UK @euromove How do you think any country affected by the pandemic/war/energy crisis can put a positive slant on its economy? That’s no more possible than saying the problems are down to Brexit.,en
1626839366537551873,2023-02-18T07:01:44.000Z,war+energy,"😀🤐👋🤨😍
Policy war energy better allow car front.
#托福保分 #GRE保分 #雅思保分 #ACT保分 #GMAT保分 #朗思保分/n #托福 #雅思 #GRE #ACT #GMAT #朗思 #美食/n #多邻国保分 #SAT面授 #SAT保分 https://t.co/cekZ3z2XwM",en
1626793382474563584,2023-02-18T03:59:01.000Z,war+energy,"@DonaldJTrumpJr BIDEN IS GOING TO GET US IN A CIVIL WAR, ENERGY WAR, POLITICAL WAR, WORLD WAR!!
We need TRUMP to shut this down !
No More Wars, 
Biden is not Running The House, WHO IS !!!",en
