tweet_id,created_at,keyword_search,text,language
1627354668866342912,2023-02-19T17:09:22.000Z,ukraine+energy,"@gatewaypundit Yeah, let's focus on ""racial equity"" in the Whitehouse. While economy, border, Ukraine, energy, military, China, etc. Because THAT'S important!",en
1627343159200972801,2023-02-19T16:23:38.000Z,ukraine+energy,Dear @UnityNewsNet https://t.co/wlvGWg0rsU,en
1627324805740392448,2023-02-19T15:10:42.000Z,ukraine+energy,"""Abu Dhabi recently delivered its first shipment of LNG to Germany, as Europe increasingly turns to the Middle East after...the invasion of Ukraine.""
https://t.co/TF9UhQmo8B
#energy #NaturalGas #shale #fintwit #oilandgas  #Commodities #ONGT",en
1627323498111664132,2023-02-19T15:05:30.000Z,ukraine+energy,"@ElvirMuslimovic @ivanastradner This is true. There is lot of going on with US/NATO relationship with Serbia, but is purposefully done under radar. Military cooperation with Serbia is higher than ever. Serbia is diversifying energy sources, and also sent help for repairing Ukraine energy infrastructure.",en
1627302485781057537,2023-02-19T13:42:01.000Z,ukraine+energy,"@MendlovitzMark @cyndikash @Weaponization FBI got to her because the CIA got to the FBI &amp; that order came down from whoever is calling the shots at NWO/WEF. They had to put a stooge they could control in the WH. Trump would have looked at the numbers, shut down the VAX, kept border secure, No War in Ukraine &amp; energy ind.",en
1627296561913798656,2023-02-19T13:18:28.000Z,ukraine+energy,"Here's something else that Whitney misses and it's real simple - by sabotaging Nord Stream, Biden has enriched Burisma, the Ukraine company that was paying his son.  Quid pro quo Joe strikes again, Ukraine energy oligarchs make their money piping Russian gas into Europe. https://t.co/ZwIjfduang",en
1627291805757632515,2023-02-19T12:59:34.000Z,ukraine+energy,"@IngridaSimonyte Great to hear that the meeting was productive and focused on crucial topics like support for Ukraine, energy security, and NATO summit priorities. Your commitment to increased and speedy help is a positive step forward.",en
1627242427982438400,2023-02-19T09:43:22.000Z,ukraine+energy,@ChloeTanner1 @RachelReevesMP @Morrisons @EmmaforWycombe This problem is not caused by brexit.. a tyrant in Russia is trying to subjugate Ukraine. Energy and food price rises are a consequence of that!,en
1627231927001309185,2023-02-19T09:01:38.000Z,ukraine+energy,@elonmusk COVID + inflation + Ukraine  =&gt; energy prices =&gt; disable SMS service.,en
1627132737571233793,2023-02-19T02:27:29.000Z,ukraine+energy,@CarmineFields5 @Victory17761 @ksorbs And who do you think he learned from and how he got his job in the first place with Ukraine energy companies? The BIG GUY. Along with quite a few other Demonrats family members. They just magically got the jobs because they were qualified? LMFAO wow ignorance is bliss for you.,en
1627097165486264322,2023-02-19T00:06:08.000Z,ukraine+energy,@puttright @chuckwoolery Trump: Lwr unemployment; border under control; N. Korea under control; no war in Ukraine; no pissing away $ to Ukraine; energy independence. Biden lets China send a spy balloon over the ENTIRE country; border NOT under control. LIES LIES LIES,en
1627091605252608000,2023-02-18T23:44:03.000Z,ukraine+energy,"@Vanilla96388488 @stelafar @IndigoARose @ericareport There's literally video evidence and texts of Biden admitting to most of these crimes. 
10% for the big guy 
Ukraine money laundering while his crackhead son held a board position at a Ukraine energy company with NO EXPERIENCE. 
Taking classified documents while vice president",en
1627088076630798339,2023-02-18T23:30:01.000Z,ukraine+energy,"🇺🇦 ""In the longer term, and with an eye on a post-war period, Ukraine must rethink its energy system to respond both to security challenges and decarbonization goals fully aligned with those of the EU."" @ASabadus #VictoryForUkraine https://t.co/2xNeWjTrTs",en
1627071504767909891,2023-02-18T22:24:10.000Z,ukraine+energy,what are u waiting for? @Sunny199210 @lymysayla @Terrell38904626 @Vikki4450253 @ukraine_energy @pala00022 @ArelyCathy @gsr07773 @beccaxptx @jasonduiella1 https://t.co/UFpvqHf4P9,en
1627025258506248193,2023-02-18T19:20:24.000Z,ukraine+energy,"@PurcellGregory @GrandMoffOfMars https://t.co/WD6YnX0DMJ

The US wouldn’t get involved if there wasn’t potential for profit.",en
1626981895312400385,2023-02-18T16:28:06.000Z,ukraine+energy,"@ianbremmer It’s not the kind of government, it’s:  years of easy money (not necessarily a criticism…), pandemic-related stuff (supply chain disruptions, economic stimulus), geopolitical turmoil in the wake of Russian aggression against Ukraine, energy disruptions, robust job market…etc",en
1626946677935333380,2023-02-18T14:08:09.000Z,ukraine+energy,"@hodgetwins The @JoeBiden family has close ties to Ukraine energy companies.

Also, the @ClintonFdn gets most of its donations from Ukrainian elites.",en
1626945048272154624,2023-02-18T14:01:41.000Z,ukraine+energy,"@Lastmanolympia @VP Well, true. But also the Biden family has business ties with Ukraine energy companies &amp; the Clinton Foundation gets most of its money from Ukraine elites",en
1626937829355040769,2023-02-18T13:33:00.000Z,ukraine+energy,"Car emissions, Ukraine, Energy, Electoral Rights and the Chips Act. Some of the topics discussed in the European Parliament this week. Find out more ↓",en
1626933533200506881,2023-02-18T13:15:55.000Z,ukraine+energy,@NoDeamer @BigFightMike @Benaskren They can and our paying us back 100x over... https://t.co/juKQZqA3dt,en
1626933306708164608,2023-02-18T13:15:01.000Z,ukraine+energy,@ChipSwitches @BigFightMike @Benaskren We're taking large amounts of energy from them... it's what the entire wars about... https://t.co/juKQZqA3dt,en
1626930501788246018,2023-02-18T13:03:53.000Z,ukraine+energy,.@ERCOT_ISO (Texas electrical grid) could learn a lesson from Ukraine energy. Ukraine can keep the electrical grid running under freezing conditions while Russia is destroying critical nodes.  Texas grid shuts down when temperatures fall below freezing. https://t.co/muudqMNNr4,en
1626926282314289152,2023-02-18T12:47:07.000Z,ukraine+energy,"Activists. Scientists. Political leaders. And you.

🇪🇺Europe is facing multiple crises - war in Ukraine, energy &amp; health, on top of the unfolding climate catastrophe.
Over 2 days, several workshops will focus on specific issues and formulate campaigning messages, narratives",en
1626924586473250818,2023-02-18T12:40:22.000Z,ukraine+energy,"@seun_aiye It's terrible. There was an increase in wholesale oil &amp; gas prices as a result of the pandemic &amp; war in Ukraine. Energy companies were quick to carry microphones to cry &amp; tell the world how tough things were, but as soon as those costs heavily decreased, they greedily kept quiet.",en
1626913104079556610,2023-02-18T11:54:45.000Z,ukraine+energy,"“The news, the war in Ukraine, energy prices, inflation, political instability, there isn’t much most of us can do about it, so are we destined to be pessimists when it comes to those kinds of events?” Been mulling @EvanHD’s question to Martin Seligman on yesterday’s @BBCPM",en
1626912021701660672,2023-02-18T11:50:27.000Z,ukraine+energy,@TexasMeema @thejackhopkins @colmant_ There has never er been any follow through about Perry involvement wit Ukraine energy company. He just quietly slunk back to Tx.,en
1626782741948690433,2023-02-18T03:16:44.000Z,ukraine+energy,@JodiDecker4107 @ambereyes69 @ericareport If you can’t figure out why the optics of Hunter sitting on the board of a Ukraine energy company with 0 energy experience and the documented dealings  Hunter had with China while his dad was VP the you are just a partisan hack lol,en
1626748722729340928,2023-02-18T01:01:33.000Z,ukraine+energy,@jonestripp @VigilantFox No not that. He is a communist though. He came from polygamy. And he Carrie’s a grudge like a staf. Creepy. Oh and his kid Tagg is in #Ukraine energy.,en
